date,cores,site,vo
1550139803.6668622,1056,UKI-SOUTHGRID-RALPP5,UKI-SOUTHGRID-OX-HEP
1591759281.4455743,2496,UKI-SOUTHGRID-BHAM-HEP,dune
1600861090.1400027,1376,UKI-NORTHGRID-LANCS-HEP7,AENEAS
1621966511.1373067,736,ral-cloud244,UKI-LT2-RHUL
1560585824.2456615,640,UKI-LT2-IC-HEP25,lz
1546995661.8870087,2912,UKI-NORTHGRID-MAN-HEP14,lsst
1544869357.3031034,1376,UKI-SCOTGRID-GLASGOW4,casu
1574652726.714341,736,UKI-NORTHGRID-LIV-HEP3,gaia-test
1548871958.1512368,2976,ral-cloud244,UKI-LT2-QMUL
1601809028.1493998,1216,UKI-LT2-RH,UKI-NORTHGRID-MAN-HEP
1596703276.5917358,2016,ral-cloud244,jintrac
1607673853.5379388,32,UKI-SOUTHGRID-CAM-HEP,ral-cloud
1539091987.1353858,704,UKI-SOUTHGRID-RALPP5,dirac
1544816491.228961,2880,UKI-LT2-QMUL4,Allocation
1607868218.7931664,1248,UKI-NORTHGRID-LIV-HEP3,UKI-LT2-QMUL
1577519337.6610813,1600,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-CAM-HEP
1589337767.3044126,704,UKI-NORTHGRID-LIV-HEP3,skatelescope.eu
1565327375.1742754,3328,UKI-SOUTHGRID-OX-HEP2,skatelescope.eu
1564744419.472086,1952,UKI-NORTHGRID-LANCS-HEP7,RAL-LCG2
1604031414.0350087,2688,UKI-LT2-RH,CLF
1587425510.411475,2400,UKI-SOUTHGRID-BRIS-HEP1,casu
1570639558.5897932,384,ral-cloud244,jintrac
1586101947.8820593,1568,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-IC-HEP
1579666336.3111572,288,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-Brunel
1576417800.4295352,3552,UKI-LT2-QMUL4,dune
1574187566.7712603,1120,UKI-SOUTHGRID-BHAM-HEP,UKI-SOUTHGRID-CAM-HEP
1561395663.4092195,224,UKI-SOUTHGRID-BRIS-HEP1,ISIS
1540154643.7426577,1280,UKI-NORTHGRID-LIV-HEP3,UKI-SOUTHGRID-CAM-HEP
1566680991.444239,448,UKI-SCOTGRID-ECDF2,gaia-prod
1568631130.1081219,3712,UKI-SCOTGRID-ECDF2,UKI-LT2-IC-HEP
1606092547.561319,3488,RAL-LCG211,UKI-SOUTHGRID-OX-HEP
1541988356.8819482,3392,UKI-SOUTHGRID-CAM-HEP,gaia-dev
1538457656.496943,832,UKI-LT2-Brunel9,UKI-SOUTHGRID-RALPP
1616758871.9443364,3872,UKI-SOUTHGRID-CAM-HEP,dirac
1605099067.9225621,224,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-BHAM-HEP
1607458055.4008257,608,UK-CAM-CUMULUS47,UKI-SOUTHGRID-RALPP
1602719096.9905138,3200,UKI-LT2-Brunel9,Capacity
1539863277.2428648,512,UKI-SOUTHGRID-CAM-HEP,casu
1557677073.8942857,4160,UKI-NORTHGRID-SHEF-HEP7,UKI-SCOTGRID-GLASGOW
1575402111.2793102,512,UKI-NORTHGRID-LIV-HEP3,lz
1589588054.3593075,2880,UKI-SCOTGRID-GLASGOW4,skatelescope.eu
1617035509.1287918,5312,UKI-SCOTGRID-ECDF2,CCFE
1604162224.8565314,2336,UK-CAM-CUMULUS47,LSST
1622112402.968399,2880,UKI-SCOTGRID-GLASGOW4,RAL-LCG2
1538073204.9078028,2080,UKI-NORTHGRID-MAN-HEP14,UKI-LT2-IC-HEP
1572533991.5272336,5056,UKI-LT2-Brunel9,EUCLID
1614802828.182538,4256,UKI-NORTHGRID-SHEF-HEP7,lz
1600681360.628748,2784,UKI-LT2-Brunel9,vo.cta.in2p3.fr
1572689246.3318846,5568,UKI-SOUTHGRID-BHAM-HEP,UKI-LT2-RHUL
1596924838.0769973,3872,UKI-NORTHGRID-MAN-HEP14,RAL-LCG2
1599213889.6117642,3744,UKI-LT2-IC-HEP25,jintrac
1541366285.7964861,928,UK-CAM-CUMULUS47,iris.ac.uk
1579115578.7262084,672,UKI-SCOTGRID-GLASGOW4,UKI-SOUTHGRID-OX-HEP
1571948027.476592,2144,UKI-LT2-IC-HEP25,CLF
1602491888.363543,5344,UKI-SCOTGRID-ECDF2,skatelescope.eu
1617916195.5709262,2432,UKI-LT2-IC-HEP25,RAL-LCG2
1588083695.6542845,832,UKI-SOUTHGRID-BRIS-HEP1,UKI-SOUTHGRID-RALPP
1550666809.1216102,4032,UKI-SOUTHGRID-OX-HEP2,UKI-NORTHGRID-LIV-HEP
1604879426.6894197,2240,UKI-NORTHGRID-LANCS-HEP7,UKI-SOUTHGRID-RALPP
1538283706.0308266,1600,UKI-SOUTHGRID-BHAM-HEP,UK-CAM-CUMULUS
1533044660.1454408,800,RAL-LCG211,vcycle
1610034325.5027525,2464,UKI-LT2-Brunel9,UKI-NORTHGRID-SHEF-HEP
1595208394.3342967,3296,UKI-NORTHGRID-LANCS-HEP7,Allocation
1582947773.749602,5248,UK-CAM-CUMULUS47,lz
1604687982.6246421,320,UKI-NORTHGRID-MAN-HEP14,dune
1575774136.7417595,5568,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-OX-HEP
1573741417.758115,800,UKI-SOUTHGRID-BRIS-HEP1,UKI-LT2-QMUL
1593845425.9224722,3552,UKI-SOUTHGRID-OX-HEP2,gaia-prod
1539928417.4113462,5216,UKI-NORTHGRID-SHEF-HEP7,vo.cta.in2p3.fr
1527677528.530143,5568,UKI-LT2-RH,UKI-NORTHGRID-SHEF-HEP
1618412120.2083843,64,UKI-SCOTGRID-GLASGOW4,vcycle
1609796334.9701638,3872,UKI-NORTHGRID-LANCS-HEP7,dirac
1549077076.340701,3872,UK-CAM-CUMULUS47,casu
1601245336.3570905,4640,UKI-NORTHGRID-LIV-HEP3,UKI-LT2-QMUL
1542104956.8815956,3936,UKI-SCOTGRID-ECDF2,ISIS
1584965816.46482,7424,UKI-NORTHGRID-LANCS-HEP7,gaia
1559739943.6906002,1504,UKI-SOUTHGRID-CAM-HEP,Capacity
1592846450.162246,7968,UKI-SOUTHGRID-BRIS-HEP1,lz
1529490493.5052118,800,ral-cloud244,UKI-SCOTGRID-GLASGOW
1581100526.122676,5888,UK-CAM-CUMULUS47,Allocation
1594992975.6563094,6336,UKI-LT2-RH,UK-CAM-CUMULUS
1589347496.2695427,1472,UKI-SOUTHGRID-RALPP5,casu
1563387259.695624,2368,UKI-LT2-QMUL4,ral-cloud
1615665803.2976117,5600,UK-CAM-CUMULUS47,virgo
1578484709.862266,5600,ral-cloud244,Capacity
1544714637.8993597,7520,UKI-SCOTGRID-ECDF2,ral-cloud
1610639027.1969402,6848,RAL-LCG211,EUCLID
1603386218.738093,2368,UKI-NORTHGRID-SHEF-HEP7,UKI-SOUTHGRID-OX-HEP
1532517466.4464874,6368,UKI-NORTHGRID-LANCS-HEP7,UKI-LT2-QMUL
1533551363.1575165,6016,UKI-SOUTHGRID-CAM-HEP,UKI-NORTHGRID-SHEF-HEP
1601045311.4423633,2784,UK-CAM-CUMULUS47,CLF
1591493636.472023,7296,UKI-NORTHGRID-LIV-HEP3,UKI-SOUTHGRID-BHAM-HEP
1615628183.544648,2784,UKI-SOUTHGRID-CAM-HEP,Diamond
1547047800.9456112,6528,UKI-SOUTHGRID-BRIS-HEP1,UKI-SCOTGRID-ECDF
1607442963.920393,1952,UKI-NORTHGRID-LANCS-HEP7,UKI-SOUTHGRID-RALPP
1613275760.8749166,8064,UKI-SOUTHGRID-BRIS-HEP1,vcycle
1572452078.8310359,5344,UKI-SCOTGRID-ECDF2,eMERLIN
1564147261.949682,3648,UKI-SCOTGRID-ECDF2,gaia-test
1616623690.5370452,1408,UKI-SOUTHGRID-BHAM-HEP,dirac
1564883453.649598,5696,UKI-NORTHGRID-MAN-HEP14,UKI-LT2-RHUL
1545832192.609914,1920,UKI-SOUTHGRID-RALPP5,UKI-SOUTHGRID-BHAM-HEP
1542262024.8527613,4640,UKI-SOUTHGRID-RALPP5,UKI-LT2-RHUL
1620763784.3433902,9280,UKI-LT2-QMUL4,UKI-LT2-QMUL
1533066584.9928563,8192,UKI-LT2-Brunel9,dirac
1562328848.173821,1024,UKI-NORTHGRID-LANCS-HEP7,vcycle
1591099962.2905443,6752,UK-CAM-CUMULUS47,vo.cta.in2p3.fr
1559056699.762905,5824,UKI-LT2-Brunel9,UKI-SOUTHGRID-BRIS-HEP
1579385300.9538777,1920,UKI-SOUTHGRID-CAM-HEP,dune
1530830697.8134236,7008,UK-CAM-CUMULUS47,lsst
1585088694.7397122,3136,UKI-SOUTHGRID-BRIS-HEP1,EUCLID
1532120238.1123965,6944,RAL-LCG211,gaia-test
1598084845.042121,352,UKI-SCOTGRID-GLASGOW4,UKI-SCOTGRID-ECDF
1622561928.101525,2304,RAL-LCG211,gaia-test
1609257370.3702288,4448,UKI-SOUTHGRID-BRIS-HEP1,UKI-LT2-RHUL
1577390461.6231527,9312,UKI-SCOTGRID-ECDF2,UKI-NORTHGRID-LIV-HEP
1528370580.6561246,4736,UKI-SOUTHGRID-RALPP5,jintrac
1599735835.3921466,2624,UKI-SOUTHGRID-BRIS-HEP1,UKI-LT2-IC-HEP
1570847229.3536065,8928,UKI-LT2-Brunel9,iris.ac.uk
1544791775.5580196,10400,UKI-LT2-Brunel9,dirac
1589084490.9966395,4192,ral-cloud244,jintrac
1607031056.8609054,9696,ral-cloud244,jintrac
1584447391.453445,2336,ral-cloud244,dirac
1539231076.1680982,3840,UKI-LT2-IC-HEP25,gaia-dev
1580126865.227496,5568,UKI-SOUTHGRID-CAM-HEP,Diamond
1543503945.389442,1664,UKI-LT2-QMUL4,ISIS
1550556485.4045522,8768,UKI-SOUTHGRID-RALPP5,UK-CAM-CUMULUS
1549721942.3828619,7232,UKI-SCOTGRID-GLASGOW4,eMERLIN
1556872616.4775977,8992,RAL-LCG211,lsst
1546576147.4307933,5792,UKI-NORTHGRID-LANCS-HEP7,UKI-SOUTHGRID-CAM-HEP
1604069528.8214202,6432,UKI-NORTHGRID-MAN-HEP14,UKI-LT2-QMUL
1589784406.3933475,7904,UKI-LT2-QMUL4,UKI-LT2-RHUL
1535334624.1395848,8832,UKI-SOUTHGRID-BRIS-HEP1,UK-CAM-CUMULUS
1541985510.6039402,2720,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-RALPP
1533747628.5018651,4768,UKI-SOUTHGRID-BRIS-HEP1,AENEAS
1551338113.9112904,3424,UKI-NORTHGRID-LANCS-HEP7,Capacity
1606164720.8928912,128,UKI-LT2-Brunel9,UKI-NORTHGRID-SHEF-HEP
1605025919.6000152,4256,UKI-SOUTHGRID-OX-HEP2,gaia
1557753557.6580434,1472,UKI-SOUTHGRID-BRIS-HEP1,UKI-SOUTHGRID-BRIS-HEP
1606395900.7034807,5152,UKI-LT2-QMUL4,UKI-LT2-QMUL
1611276339.8853846,7072,UKI-SCOTGRID-ECDF2,Capacity
1588348291.516224,6784,UKI-SOUTHGRID-CAM-HEP,dune
1606914609.322334,1280,UKI-NORTHGRID-SHEF-HEP7,ral-cloud
1558591949.0999613,7520,UKI-SCOTGRID-ECDF2,CCFE
1539897433.57201,6816,UKI-LT2-Brunel9,CCFE
1546442951.2640057,4000,UKI-SOUTHGRID-BRIS-HEP1,CCFE
1609132618.8093789,768,UK-CAM-CUMULUS47,Allocation
1620574242.7465143,8000,RAL-LCG211,RAL-LCG2
1617550956.0573184,10816,UKI-SCOTGRID-GLASGOW4,jintrac
1588472714.7930505,10592,UKI-LT2-QMUL4,vo.cta.in2p3.fr
1577795767.5547235,2336,UKI-LT2-QMUL4,UKI-NORTHGRID-MAN-HEP
1575273064.9301593,1856,UKI-SOUTHGRID-RALPP5,UKI-NORTHGRID-SHEF-HEP
1611520579.531531,10464,UKI-NORTHGRID-LIV-HEP3,iris.ac.uk
1570402075.9130015,10784,UKI-NORTHGRID-LIV-HEP3,UKI-SCOTGRID-GLASGOW
1565120781.5203688,11328,ral-cloud244,ral-cloud
1610681382.530278,4800,UKI-SCOTGRID-GLASGOW4,UKI-SOUTHGRID-BRIS-HEP
1591966915.0370286,11040,UKI-LT2-QMUL4,UKI-NORTHGRID-MAN-HEP
1619833521.5532,6944,UKI-LT2-Brunel9,UKI-SOUTHGRID-CAM-HEP
1597010679.6148577,5216,UKI-SOUTHGRID-BRIS-HEP1,dirac
1596457266.6060698,4960,UKI-SOUTHGRID-BHAM-HEP,UKI-LT2-QMUL
1578367682.5983686,9344,UKI-SOUTHGRID-BRIS-HEP1,gaia-prod
1534491430.1404364,7936,UKI-SOUTHGRID-BHAM-HEP,dirac
1548986552.5966263,2048,UKI-NORTHGRID-LANCS-HEP7,Diamond
1546806468.65124,1792,UKI-LT2-QMUL4,gaia
1619284033.6745734,9088,RAL-LCG211,CCFE
1545479507.3323097,5024,UKI-SOUTHGRID-CAM-HEP,jintrac
1598227200.022254,1728,ral-cloud244,UKI-LT2-IC-HEP
1618143493.3642957,5856,UKI-NORTHGRID-MAN-HEP14,iris.ac.uk
1621191695.6289742,12320,UKI-SOUTHGRID-CAM-HEP,UKI-LT2-QMUL
1622460221.749319,2016,UKI-LT2-IC-HEP25,vo.cta.in2p3.fr
1606793551.8540757,7008,UKI-NORTHGRID-LIV-HEP3,Allocation
1553978679.8662868,1120,UKI-SOUTHGRID-BHAM-HEP,jintrac
1561266108.7057488,12320,UKI-NORTHGRID-LANCS-HEP7,dirac
1544181885.33999,9952,UKI-LT2-RH,LSST
1541998844.8584695,9440,UKI-SOUTHGRID-BHAM-HEP,UKI-LT2-IC-HEP
1618354688.039929,10752,ral-cloud244,CLF
1618793146.0054915,3456,UKI-SCOTGRID-GLASGOW4,CLF
1531538345.2305183,4448,UKI-LT2-RH,AENEAS
1532340087.8954456,11776,UKI-NORTHGRID-LANCS-HEP7,UKI-NORTHGRID-LIV-HEP
1571133350.399521,5120,UKI-NORTHGRID-SHEF-HEP7,casu
1567604379.1905682,12064,UKI-LT2-IC-HEP25,CLF
1623006034.440027,1248,UKI-SCOTGRID-ECDF2,dirac
1592030123.8064225,13088,UKI-SOUTHGRID-BRIS-HEP1,EUCLID
1559715495.194911,14400,UKI-SOUTHGRID-BRIS-HEP1,iris.ac.uk
1580758775.4600244,3712,UKI-LT2-IC-HEP25,iris.ac.uk
1565968698.9328594,6880,UKI-SCOTGRID-ECDF2,UKI-LT2-QMUL
1589626652.0134647,4832,UKI-LT2-QMUL4,CLF
1528211422.8620625,9248,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-RALPP
1605181791.1676247,864,UKI-LT2-IC-HEP25,UKI-LT2-IC-HEP
1580074127.5856726,1728,UKI-NORTHGRID-LANCS-HEP7,UKI-SCOTGRID-GLASGOW
1604134127.0056531,4928,UKI-SOUTHGRID-CAM-HEP,vo.cta.in2p3.fr
1555254153.3217962,3104,UKI-SCOTGRID-ECDF2,virgo
1534306493.9714894,5504,UKI-LT2-IC-HEP25,skatelescope.eu
1567863276.7487366,7360,UKI-NORTHGRID-LIV-HEP3,vcycle
1611509352.2264352,10016,UKI-NORTHGRID-MAN-HEP14,Allocation
1533153918.677906,608,UKI-SOUTHGRID-CAM-HEP,jintrac
1566373361.15946,1344,UKI-SOUTHGRID-BRIS-HEP1,UKI-SOUTHGRID-BRIS-HEP
1531469458.1997795,6880,UKI-SOUTHGRID-BHAM-HEP,gaia-test
1619738934.7406893,4320,UKI-NORTHGRID-LANCS-HEP7,UKI-SOUTHGRID-CAM-HEP
1576584560.9348404,10368,UKI-SCOTGRID-ECDF2,CCFE
1619486433.6080668,4448,UKI-NORTHGRID-MAN-HEP14,gaia-dev
1571514529.7289555,7712,UKI-SOUTHGRID-CAM-HEP,Diamond
1534379829.9720232,12320,UKI-LT2-RH,eMERLIN
1574488289.494998,4960,UKI-SCOTGRID-ECDF2,virgo
1588108704.430369,12160,UKI-NORTHGRID-LANCS-HEP7,gaia-test
1618461795.6106527,5024,UKI-SCOTGRID-GLASGOW4,UKI-NORTHGRID-MAN-HEP
1580636643.4294133,13984,UKI-NORTHGRID-LANCS-HEP7,lsst
1607800810.3140864,10816,UKI-SOUTHGRID-BRIS-HEP1,UKI-SOUTHGRID-CAM-HEP
1569570904.8958406,4128,RAL-LCG211,UKI-LT2-QMUL
1546277966.6253352,1024,UKI-LT2-RH,eMERLIN
1593325104.915162,2528,UKI-SOUTHGRID-CAM-HEP,UKI-LT2-IC-HEP
1530535954.6678936,7808,UKI-LT2-Brunel9,UKI-LT2-IC-HEP
1567945158.6680906,15904,UKI-SOUTHGRID-OX-HEP2,lsst
1545706362.4125407,8864,RAL-LCG211,jintrac
1613056610.0912707,3872,ral-cloud244,UKI-LT2-QMUL
1535781751.9983885,16256,UKI-LT2-QMUL4,UKI-SCOTGRID-ECDF
1568205209.0302517,15808,UKI-SOUTHGRID-BRIS-HEP1,eMERLIN
1598364464.3043628,2176,UKI-SCOTGRID-ECDF2,gaia-dev
1614115647.0169995,1984,ral-cloud244,virgo
1550616672.635389,6848,RAL-LCG211,CCFE
1546480482.7783184,7328,UKI-SCOTGRID-GLASGOW4,ral-cloud
1579485670.2315812,9216,UKI-LT2-Brunel9,RAL-LCG2
1563348629.7324214,13856,UKI-LT2-QMUL4,Allocation
1540685039.88161,3808,UKI-LT2-IC-HEP25,UKI-LT2-RHUL
1600122523.4594004,12736,UKI-LT2-RH,UKI-NORTHGRID-LANCS-HEP
1540100161.3599763,2848,UKI-NORTHGRID-LANCS-HEP7,UKI-SOUTHGRID-OX-HEP
1557166432.3125072,6528,UKI-NORTHGRID-LIV-HEP3,UKI-SOUTHGRID-BHAM-HEP
1540758455.6978066,12480,UKI-SOUTHGRID-BRIS-HEP1,gaia
1609692894.8570352,5088,UKI-NORTHGRID-SHEF-HEP7,UKI-SCOTGRID-ECDF
1592345934.574097,7680,UKI-NORTHGRID-MAN-HEP14,RAL-LCG2
1575077702.52467,13824,UKI-LT2-QMUL4,CCFE
1584540447.6197464,13152,UKI-SCOTGRID-ECDF2,lz
1622147529.2717817,6848,UKI-NORTHGRID-LIV-HEP3,casu
1605634553.2527924,1728,UKI-NORTHGRID-SHEF-HEP7,ISIS
1571948819.7680275,2688,UKI-SCOTGRID-ECDF2,vcycle
1613614521.3212466,7136,UKI-NORTHGRID-SHEF-HEP7,Diamond
1616030305.645348,6496,RAL-LCG211,AENEAS
1608386127.140575,14624,UKI-LT2-Brunel9,RAL-LCG2
1620832475.0170195,15744,UKI-SOUTHGRID-RALPP5,jintrac
1561788325.5404384,5504,UKI-NORTHGRID-MAN-HEP14,UKI-NORTHGRID-LANCS-HEP
1584306728.6282907,32,UKI-SOUTHGRID-OX-HEP2,dune
1532623404.4893131,3808,UK-CAM-CUMULUS47,UKI-SOUTHGRID-RALPP
1572170385.8786569,7776,RAL-LCG211,iris.ac.uk
1616423780.5255134,1568,UKI-LT2-IC-HEP25,eMERLIN
1595456491.1002247,12512,UKI-SCOTGRID-GLASGOW4,Diamond
1613858869.4340484,14464,UKI-SCOTGRID-GLASGOW4,jintrac
1611032259.4224172,9344,UKI-NORTHGRID-LIV-HEP3,eMERLIN
1619306847.864063,4544,UKI-SCOTGRID-GLASGOW4,jintrac
1614899839.4453363,3296,UKI-SCOTGRID-ECDF2,UKI-LT2-RHUL
1552918995.2643912,12832,UKI-LT2-IC-HEP25,UKI-SCOTGRID-GLASGOW
1601327982.8836892,17632,UKI-LT2-RH,UKI-SOUTHGRID-CAM-HEP
1557195325.1981049,13632,UKI-NORTHGRID-LIV-HEP3,Capacity
1528208402.78902,15200,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-BRIS-HEP
1579994850.019543,2336,ral-cloud244,lz
1545877322.9135215,8192,UKI-LT2-Brunel9,gaia
1618040638.8022065,4000,UKI-SCOTGRID-GLASGOW4,ral-cloud
1540778442.2371578,17696,UKI-SCOTGRID-GLASGOW4,ISIS
1619837023.4063246,5216,UKI-LT2-QMUL4,eMERLIN
1605988131.4841423,11808,UKI-LT2-QMUL4,LSST
1606771256.0473754,3712,UKI-NORTHGRID-MAN-HEP14,CCFE
1562595790.9164948,7392,UKI-LT2-RH,ral-cloud
1602831151.8526623,1376,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-CAM-HEP
1528660641.706325,5984,UKI-LT2-Brunel9,gaia-prod
1567342977.1382813,512,UKI-NORTHGRID-LIV-HEP3,UK-CAM-CUMULUS
1562614154.5218968,17248,UKI-NORTHGRID-MAN-HEP14,ISIS
1616081688.4679,18240,UK-CAM-CUMULUS47,vcycle
1607550195.7410476,11328,UKI-SOUTHGRID-RALPP5,Allocation
1615488088.2229774,1536,UKI-SOUTHGRID-CAM-HEP,RAL-LCG2
1539946869.2580492,12864,UKI-SOUTHGRID-CAM-HEP,UKI-NORTHGRID-SHEF-HEP
1599917388.8427007,16096,UKI-LT2-RH,EUCLID
1528463908.0181282,11968,UKI-NORTHGRID-MAN-HEP14,virgo
1589637214.8397768,5920,UKI-SCOTGRID-GLASGOW4,UKI-SCOTGRID-ECDF
1618874139.5859303,5088,UKI-SOUTHGRID-RALPP5,eMERLIN
1597875856.3661356,14080,UKI-NORTHGRID-LANCS-HEP7,LSST
1565397007.5603821,7680,UKI-SCOTGRID-GLASGOW4,eMERLIN
1610243702.8054993,12640,UKI-SOUTHGRID-BRIS-HEP1,virgo
1612586582.6274843,15456,RAL-LCG211,UKI-SOUTHGRID-BRIS-HEP
1616551062.6949596,14272,UKI-SOUTHGRID-OX-HEP2,UKI-SCOTGRID-GLASGOW
1573177499.0125904,17664,UKI-SOUTHGRID-BRIS-HEP1,CLF
1533277976.682644,17088,UKI-SOUTHGRID-RALPP5,UKI-NORTHGRID-LANCS-HEP
1544059838.1710525,18784,UKI-SOUTHGRID-CAM-HEP,vo.cta.in2p3.fr
1612916339.6671035,9600,UKI-SOUTHGRID-RALPP5,UKI-NORTHGRID-LANCS-HEP
1549839803.242203,1760,UKI-SOUTHGRID-OX-HEP2,lsst
1596498777.8534918,18176,UKI-SOUTHGRID-RALPP5,Capacity
1586827135.6291347,7968,ral-cloud244,casu
1609941616.378995,17024,UKI-NORTHGRID-MAN-HEP14,dirac
1577936738.2524824,2560,UKI-LT2-RH,UKI-SOUTHGRID-OX-HEP
1558218653.5201783,12896,UKI-NORTHGRID-MAN-HEP14,EUCLID
1596635401.4084933,5408,UKI-LT2-IC-HEP25,UKI-SOUTHGRID-RALPP
1585675411.1851118,18656,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-BRIS-HEP
1605214723.7796018,1408,UKI-NORTHGRID-LANCS-HEP7,Allocation
1570009773.184715,5632,UKI-NORTHGRID-LANCS-HEP7,lsst
1531986797.0256345,18912,UKI-LT2-IC-HEP25,UKI-SOUTHGRID-CAM-HEP
1609844911.4119897,20256,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-BHAM-HEP
1550032109.0250926,21184,UKI-LT2-IC-HEP25,UKI-LT2-RHUL
1536415959.1268444,10272,UKI-LT2-Brunel9,dune
1541555221.1915188,4800,UKI-NORTHGRID-SHEF-HEP7,dirac
1606649607.7683294,14656,ral-cloud244,gaia-dev
1600845127.587566,21824,ral-cloud244,vcycle
1548930045.194679,1664,UKI-LT2-Brunel9,UKI-SCOTGRID-GLASGOW
1579990060.9947991,1536,UKI-LT2-QMUL4,EUCLID
1542576093.1288817,12832,UKI-SCOTGRID-GLASGOW4,UKI-NORTHGRID-MAN-HEP
1568849152.6611817,15872,UKI-NORTHGRID-MAN-HEP14,gaia
1532386967.0023499,4544,UKI-SOUTHGRID-RALPP5,UKI-SOUTHGRID-BRIS-HEP
1599070785.6598277,12352,UKI-SOUTHGRID-BHAM-HEP,Capacity
1536018515.9279528,1952,UKI-NORTHGRID-LIV-HEP3,UKI-NORTHGRID-SHEF-HEP
1544742092.2907376,12096,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-BHAM-HEP
1598860553.4031909,2208,UKI-LT2-QMUL4,UKI-NORTHGRID-LIV-HEP
