timestamp,cores,site,vo
1528091068.7912934,224,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-BRIS-HEP
1528104598.1247826,3200,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-Brunel
1528116373.1650143,4320,UKI-LT2-RH,vcycle
1528116819.2334585,2752,UKI-SOUTHGRID-OX-HEP2,gaia-prod
1528124145.533193,1184,UKI-NORTHGRID-LIV-HEP3,UKI-SCOTGRID-ECDF
1528126180.12785,2880,UKI-LT2-QMUL4,lsst
1528129887.9764042,2816,UK-CAM-CUMULUS47,CLF
1528150990.036726,4480,UKI-SOUTHGRID-BRIS-HEP1,UKI-NORTHGRID-LIV-HEP
1528167656.934221,3040,UKI-NORTHGRID-LIV-HEP3,iris.ac.uk
1528170410.254843,4000,UKI-SOUTHGRID-BHAM-HEP,UKI-SOUTHGRID-BRIS-HEP
1528182472.4814343,1280,UKI-SOUTHGRID-OX-HEP2,Diamond
1528184340.0915654,512,UKI-SCOTGRID-ECDF2,AENEAS
1528185750.9984367,3168,UKI-SCOTGRID-GLASGOW4,eMERLIN
1528198175.6494365,3968,UKI-LT2-IC-HEP25,vcycle
1528212711.779201,1536,UKI-LT2-QMUL4,vcycle
1528222150.1815333,3424,RAL-LCG211,UK-CAM-CUMULUS
1528223383.630508,192,UKI-NORTHGRID-LIV-HEP3,dune
1528229965.1676583,32,UKI-SOUTHGRID-BRIS-HEP1,UKI-LT2-RHUL
1528240679.453244,4480,UK-CAM-CUMULUS47,EUCLID
1528254957.331396,5312,UKI-NORTHGRID-LIV-HEP3,eMERLIN
1528257467.1197913,5408,UKI-LT2-Brunel9,UKI-LT2-RHUL
1528259948.1672583,2176,UKI-SCOTGRID-ECDF2,Diamond
1528263722.9581583,3680,UKI-SCOTGRID-ECDF2,skatelescope.eu
1528264835.3530743,608,UKI-SOUTHGRID-OX-HEP2,EUCLID
1528275911.0005295,4448,UKI-NORTHGRID-LANCS-HEP7,casu
1528280717.2672608,1600,UKI-LT2-QMUL4,UKI-LT2-IC-HEP
1528284176.1200013,1856,UKI-SOUTHGRID-CAM-HEP,iris.ac.uk
1528286731.0644221,5824,UKI-LT2-QMUL4,Allocation
1528293909.7216039,3104,UKI-NORTHGRID-SHEF-HEP7,ISIS
1528300461.5968056,4640,RAL-LCG211,UKI-SOUTHGRID-RALPP
1528302404.6761167,2208,UKI-LT2-RH,UKI-SCOTGRID-ECDF
1528325527.6151798,2720,UKI-NORTHGRID-LANCS-HEP7,RAL-LCG2
1528325868.622007,4736,UKI-SOUTHGRID-OX-HEP2,UKI-LT2-RHUL
1528336207.754838,3200,RAL-LCG211,gaia-test
1528343790.5978494,3616,UKI-SCOTGRID-GLASGOW4,vo.cta.in2p3.fr
1528347078.1914692,3360,UKI-LT2-QMUL4,lsst
1528347874.0815573,704,UKI-NORTHGRID-LANCS-HEP7,Capacity
1528351655.7686806,3104,UKI-SCOTGRID-ECDF2,EUCLID
1528358389.437378,2272,RAL-LCG211,Allocation
1528375884.3886127,608,ral-cloud244,UKI-NORTHGRID-MAN-HEP
1528391736.8333466,6720,UKI-SCOTGRID-GLASGOW4,UKI-LT2-QMUL
1528395026.7810676,1536,ral-cloud244,gaia-test
1528398435.4259481,3808,UKI-NORTHGRID-LIV-HEP3,LSST
1528399104.0670764,5952,UKI-SOUTHGRID-BRIS-HEP1,UKI-LT2-QMUL
1528410782.5426233,4480,UKI-NORTHGRID-LIV-HEP3,UKI-SOUTHGRID-BHAM-HEP
1528438744.6321237,2016,ral-cloud244,UKI-SCOTGRID-GLASGOW
1528453873.2040763,6656,ral-cloud244,casu
1528455419.096065,2080,UKI-LT2-IC-HEP25,UKI-SOUTHGRID-BHAM-HEP
1528461662.9378328,32,UKI-LT2-IC-HEP25,UKI-LT2-Brunel
1528481936.0985546,3072,UKI-SOUTHGRID-CAM-HEP,UKI-LT2-IC-HEP
1528485605.9232504,3296,UKI-LT2-IC-HEP25,lz
1528488737.4373431,5920,UKI-SCOTGRID-GLASGOW4,UKI-LT2-Brunel
1528497356.2817087,1472,UKI-LT2-IC-HEP25,skatelescope.eu
1528502708.1095407,3456,RAL-LCG211,UKI-NORTHGRID-LANCS-HEP
1528505404.7947662,6400,UKI-SOUTHGRID-BHAM-HEP,gaia-test
1528505542.5659976,2496,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-IC-HEP
1528505883.2389004,1088,UKI-LT2-RH,CLF
1528511147.6423118,6336,UKI-SOUTHGRID-CAM-HEP,gaia-dev
1528511298.4103465,256,UKI-SOUTHGRID-OX-HEP2,UKI-SOUTHGRID-CAM-HEP
1528511650.1906855,3296,UK-CAM-CUMULUS47,UKI-SOUTHGRID-BHAM-HEP
1528523528.5281575,4736,UKI-SOUTHGRID-RALPP5,vcycle
1528526636.7918434,6880,UKI-NORTHGRID-LANCS-HEP7,gaia-prod
1528529277.6311896,3744,UKI-SCOTGRID-ECDF2,jintrac
1528550333.498435,2624,UKI-LT2-IC-HEP25,casu
1528555455.4518416,1824,UKI-LT2-IC-HEP25,UKI-SOUTHGRID-CAM-HEP
1528555542.261849,1056,UKI-LT2-QMUL4,UKI-LT2-IC-HEP
1528558177.840631,1312,UKI-SOUTHGRID-OX-HEP2,UKI-SOUTHGRID-OX-HEP
1528564282.8863416,736,UKI-SOUTHGRID-BRIS-HEP1,dirac
1528568720.7012174,6848,UKI-SOUTHGRID-BRIS-HEP1,UKI-LT2-QMUL
1528576404.580365,4352,UKI-LT2-IC-HEP25,Allocation
1528578143.8518276,7648,UKI-SOUTHGRID-BHAM-HEP,UKI-NORTHGRID-LANCS-HEP
1528587581.5146341,3136,RAL-LCG211,CCFE
1528604565.1415823,4096,UKI-LT2-Brunel9,dune
1528615073.1891863,800,UKI-SOUTHGRID-BHAM-HEP,CLF
1528645828.8027549,7744,ral-cloud244,UKI-SOUTHGRID-BRIS-HEP
1528651829.5112903,3968,ral-cloud244,UKI-SCOTGRID-ECDF
1528660162.2096095,3488,UKI-SOUTHGRID-OX-HEP2,dirac
1528669355.7974212,896,UKI-SOUTHGRID-BHAM-HEP,CCFE
1528675868.904546,1664,UKI-NORTHGRID-LIV-HEP3,UKI-NORTHGRID-MAN-HEP
1528676487.005869,4640,UKI-NORTHGRID-LIV-HEP3,LSST
1528694536.2745051,4512,UKI-SCOTGRID-GLASGOW4,UKI-NORTHGRID-LANCS-HEP
1528717722.4842937,1888,UKI-SOUTHGRID-CAM-HEP,eMERLIN
1528721095.653577,7072,UKI-SOUTHGRID-CAM-HEP,CLF
1528727677.0263371,9312,UKI-SCOTGRID-GLASGOW4,UKI-SCOTGRID-ECDF
1528745931.8546143,6816,UKI-SOUTHGRID-OX-HEP2,CLF
1528751062.3380163,1024,UKI-LT2-QMUL4,gaia-prod
1528755971.1131532,2112,UK-CAM-CUMULUS47,eMERLIN
1528761206.1173484,8896,UKI-SOUTHGRID-RALPP5,AENEAS
1528776274.3970523,9280,UKI-LT2-QMUL4,dune
1528792326.7431233,6912,UKI-NORTHGRID-LANCS-HEP7,UKI-SOUTHGRID-BRIS-HEP
1528793572.5510426,4000,UKI-SOUTHGRID-OX-HEP2,UKI-SOUTHGRID-CAM-HEP
1528804528.6250398,7008,UKI-LT2-QMUL4,UKI-LT2-IC-HEP
1528809459.0865216,4032,UKI-NORTHGRID-SHEF-HEP7,Capacity
1528831487.877359,8160,RAL-LCG211,UK-CAM-CUMULUS
1528848452.7037904,5632,RAL-LCG211,UKI-NORTHGRID-LIV-HEP
1528851666.2850733,5888,UKI-LT2-Brunel9,dune
1528860938.3693454,4416,UKI-SOUTHGRID-CAM-HEP,UKI-NORTHGRID-SHEF-HEP
1528865327.3217347,2880,UKI-LT2-QMUL4,UKI-NORTHGRID-SHEF-HEP
1528884071.8388073,7936,UKI-NORTHGRID-MAN-HEP14,Allocation
1528884506.079185,832,UKI-SOUTHGRID-OX-HEP2,UKI-SOUTHGRID-CAM-HEP
1528900289.5115983,3232,UKI-SOUTHGRID-BRIS-HEP1,CLF
1528903243.0417948,6080,UKI-SCOTGRID-GLASGOW4,Capacity
1528903579.5393808,5184,UKI-SOUTHGRID-OX-HEP2,UKI-LT2-QMUL
1528911995.2794342,6848,UKI-LT2-QMUL4,casu
1528913598.1700826,3840,ral-cloud244,EUCLID
1528922839.967316,32,UK-CAM-CUMULUS47,UKI-SOUTHGRID-OX-HEP
1528928440.4061413,9728,UKI-NORTHGRID-MAN-HEP14,Diamond
1528932002.8864274,5248,UKI-LT2-Brunel9,UKI-NORTHGRID-LANCS-HEP
1528939741.4066536,10880,UKI-NORTHGRID-LIV-HEP3,UKI-SCOTGRID-GLASGOW
1528942476.6428316,640,ral-cloud244,AENEAS
1528945157.872267,288,UKI-LT2-RH,Capacity
1528947781.4665675,10176,UKI-NORTHGRID-SHEF-HEP7,vo.cta.in2p3.fr
1528953819.748376,10080,UKI-SOUTHGRID-BHAM-HEP,UKI-SCOTGRID-GLASGOW
1528966350.772675,2112,UKI-SOUTHGRID-CAM-HEP,gaia-dev
1528972136.2113564,9952,UK-CAM-CUMULUS47,EUCLID
1528989221.5947046,8992,UKI-SOUTHGRID-OX-HEP2,ral-cloud
1529004459.8125691,7072,UKI-SOUTHGRID-BHAM-HEP,CCFE
1529021142.766824,3808,UKI-LT2-QMUL4,lsst
1529031233.1034908,4800,UKI-SOUTHGRID-BRIS-HEP1,lz
1529039402.9383821,4384,UKI-SOUTHGRID-BRIS-HEP1,LSST
1529059710.8519416,5088,UKI-LT2-QMUL4,UKI-NORTHGRID-LANCS-HEP
1529060385.3735876,3872,UKI-NORTHGRID-LANCS-HEP7,gaia-dev
1529067644.002578,10848,UKI-SCOTGRID-GLASGOW4,Diamond
1529068855.5555358,8320,UKI-NORTHGRID-LIV-HEP3,UKI-NORTHGRID-LIV-HEP
1529075957.7100434,8768,UKI-LT2-QMUL4,UKI-SCOTGRID-ECDF
1529104707.1908238,768,RAL-LCG211,RAL-LCG2
1529118692.3345659,4512,UKI-NORTHGRID-LANCS-HEP7,UKI-SCOTGRID-ECDF
1529123208.035211,2048,UKI-NORTHGRID-LANCS-HEP7,Capacity
1529133282.013681,5056,UKI-SOUTHGRID-OX-HEP2,jintrac
1529145040.3391008,11520,UKI-NORTHGRID-LIV-HEP3,casu
1529151689.501074,256,UKI-LT2-IC-HEP25,UKI-SCOTGRID-GLASGOW
1529177722.7822995,6080,UKI-SOUTHGRID-BRIS-HEP1,vo.cta.in2p3.fr
1529194403.7296808,10144,UKI-SOUTHGRID-RALPP5,UKI-NORTHGRID-LIV-HEP
1529198441.7266161,7936,UKI-SCOTGRID-ECDF2,dirac
1529199216.0001783,8384,UKI-SOUTHGRID-OX-HEP2,UKI-LT2-IC-HEP
1529207488.267877,7584,UKI-NORTHGRID-MAN-HEP14,UKI-SCOTGRID-GLASGOW
1529215904.7080271,7680,UKI-SOUTHGRID-OX-HEP2,UKI-NORTHGRID-SHEF-HEP
1529247368.5721924,192,UKI-SOUTHGRID-BHAM-HEP,casu
1529257946.4845543,6080,UKI-SOUTHGRID-BRIS-HEP1,ral-cloud
1529260222.7458115,8992,ral-cloud244,iris.ac.uk
1529271680.7612321,6048,UKI-SCOTGRID-ECDF2,jintrac
1529279278.6407626,2336,UKI-LT2-QMUL4,ral-cloud
1529290766.0181305,3488,UKI-LT2-IC-HEP25,UKI-NORTHGRID-MAN-HEP
1529298514.0561647,10848,UKI-NORTHGRID-SHEF-HEP7,UKI-SOUTHGRID-RALPP
1529304165.8056622,10016,UKI-NORTHGRID-LANCS-HEP7,skatelescope.eu
1529313012.8917608,352,UK-CAM-CUMULUS47,vcycle
1529315961.2528415,4704,UKI-SOUTHGRID-CAM-HEP,lz
1529319928.349352,9312,UKI-NORTHGRID-SHEF-HEP7,dirac
1529320111.2168784,7232,UK-CAM-CUMULUS47,UKI-SOUTHGRID-OX-HEP
1529352316.4145393,1696,UKI-LT2-RH,UKI-SOUTHGRID-OX-HEP
1529371894.7982762,6112,UKI-NORTHGRID-SHEF-HEP7,eMERLIN
1529382526.0501301,1088,UKI-SCOTGRID-ECDF2,vo.cta.in2p3.fr
1529405495.003385,4928,UKI-SCOTGRID-GLASGOW4,casu
1529437441.9945948,5472,UKI-NORTHGRID-LIV-HEP3,LSST
1529463600.575378,7616,UKI-SOUTHGRID-OX-HEP2,dune
1529504130.305833,13728,UKI-NORTHGRID-LANCS-HEP7,UKI-NORTHGRID-MAN-HEP
1529511556.2450693,10048,UKI-SOUTHGRID-OX-HEP2,AENEAS
1529516601.8403966,6272,UKI-NORTHGRID-LIV-HEP3,UKI-LT2-IC-HEP
1529532450.0161269,6336,UKI-LT2-Brunel9,UKI-SOUTHGRID-OX-HEP
1529541691.227594,6400,UKI-SOUTHGRID-BRIS-HEP1,UKI-SCOTGRID-ECDF
1529559919.6755319,4928,UKI-LT2-RH,gaia-test
1529572184.2705917,8032,UKI-SOUTHGRID-RALPP5,iris.ac.uk
1529579065.088215,14400,UK-CAM-CUMULUS47,LSST
1529590513.7841694,8960,UKI-SOUTHGRID-OX-HEP2,UKI-SOUTHGRID-BRIS-HEP
1529599324.5872345,11552,UK-CAM-CUMULUS47,casu
1529610595.9927607,3808,UKI-LT2-RH,EUCLID
1529615886.0432189,768,UKI-LT2-QMUL4,iris.ac.uk
1529616697.8975575,7936,UKI-LT2-Brunel9,LSST
1529619189.544139,7904,UKI-NORTHGRID-LANCS-HEP7,UKI-NORTHGRID-LIV-HEP
1529643768.0125792,12224,UKI-LT2-QMUL4,UKI-NORTHGRID-LIV-HEP
1529647406.414616,12672,UKI-NORTHGRID-LIV-HEP3,UKI-SOUTHGRID-BRIS-HEP
1529654772.7136757,12128,UKI-SOUTHGRID-CAM-HEP,UKI-SOUTHGRID-BRIS-HEP
1529672503.010579,8320,UKI-NORTHGRID-LIV-HEP3,UKI-SOUTHGRID-OX-HEP
1529676908.06744,11648,UKI-SOUTHGRID-BRIS-HEP1,Diamond
1529699455.1237557,11616,UKI-SOUTHGRID-RALPP5,gaia-dev
1529701801.8492749,10592,UKI-LT2-Brunel9,virgo
1529719901.0110338,5536,UKI-NORTHGRID-SHEF-HEP7,AENEAS
1529721435.740736,1216,UKI-SCOTGRID-ECDF2,RAL-LCG2
1529722402.2456226,10528,UKI-NORTHGRID-LANCS-HEP7,UKI-LT2-Brunel
1529771692.876522,13632,UKI-SOUTHGRID-BRIS-HEP1,vcycle
1529792821.2451947,15328,UKI-LT2-QMUL4,EUCLID
1529818232.6043708,12320,UKI-LT2-Brunel9,UKI-SCOTGRID-GLASGOW
1529833320.8406885,11648,ral-cloud244,UKI-SOUTHGRID-BHAM-HEP
1529841080.5060797,13536,UKI-NORTHGRID-LANCS-HEP7,LSST
1529842202.745512,13728,UKI-SCOTGRID-ECDF2,gaia
1529877929.6910946,7136,UKI-LT2-RH,ISIS
1529879449.5892472,7072,UKI-NORTHGRID-SHEF-HEP7,UKI-LT2-RHUL
1529883420.1725056,11328,UKI-NORTHGRID-LANCS-HEP7,UKI-NORTHGRID-LANCS-HEP
1529892989.2122097,16224,UKI-LT2-RH,gaia
1529900386.1542814,2464,UKI-NORTHGRID-LANCS-HEP7,CCFE
1529917234.7275746,15680,UKI-LT2-RH,UKI-SOUTHGRID-OX-HEP
1529938645.0230079,7168,UKI-NORTHGRID-LANCS-HEP7,casu
1529960047.934412,13120,RAL-LCG211,UKI-SOUTHGRID-OX-HEP
1529962197.1395154,5120,UKI-LT2-QMUL4,UK-CAM-CUMULUS
1529965407.3806787,15680,UKI-SCOTGRID-GLASGOW4,RAL-LCG2
1529972570.3281896,12192,ral-cloud244,gaia-test
1529973994.6749086,2688,UKI-LT2-QMUL4,UKI-LT2-IC-HEP
1529985858.9865718,14336,UKI-SOUTHGRID-OX-HEP2,LSST
1529988046.2877734,15904,ral-cloud244,dirac
1530006804.1459458,15200,UKI-LT2-RH,CCFE
1530013326.0047698,16992,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-RALPP
1530015364.2604413,7392,UKI-NORTHGRID-LANCS-HEP7,CLF
1530025526.7138934,4960,UKI-NORTHGRID-LANCS-HEP7,RAL-LCG2
1530030273.4610233,4800,UKI-LT2-RH,EUCLID
1530036602.2404623,13312,UKI-NORTHGRID-SHEF-HEP7,jintrac
1530038456.1726148,10560,UK-CAM-CUMULUS47,dirac
1530040842.1209683,6688,UKI-SOUTHGRID-BRIS-HEP1,gaia-test
1530064069.6135137,3104,UKI-NORTHGRID-LIV-HEP3,dune
1530102689.631435,3840,UKI-SCOTGRID-GLASGOW4,virgo
1530105390.5454152,14144,UKI-NORTHGRID-MAN-HEP14,UK-CAM-CUMULUS
1530125659.9926767,7808,UKI-LT2-RH,UK-CAM-CUMULUS
1530169448.775118,9728,UKI-LT2-IC-HEP25,UKI-SCOTGRID-GLASGOW
1530179580.9160695,16480,UKI-NORTHGRID-LANCS-HEP7,Capacity
1530247670.8005266,3232,UKI-SOUTHGRID-CAM-HEP,jintrac
1530259144.1864262,8480,UKI-SOUTHGRID-BHAM-HEP,UKI-NORTHGRID-MAN-HEP
1530260036.872106,9248,UKI-NORTHGRID-LANCS-HEP7,Capacity
1530282119.3746028,9984,UKI-NORTHGRID-SHEF-HEP7,dune
1530289536.9890463,1440,UKI-SOUTHGRID-RALPP5,UKI-SOUTHGRID-BRIS-HEP
1530296196.389599,12096,UKI-SOUTHGRID-BHAM-HEP,UKI-SCOTGRID-GLASGOW
1530303968.532164,17344,UKI-SOUTHGRID-BRIS-HEP1,UKI-NORTHGRID-LANCS-HEP
1530307612.9689445,16512,UKI-SOUTHGRID-BRIS-HEP1,Diamond
1530310367.951786,12128,UKI-NORTHGRID-SHEF-HEP7,UKI-SOUTHGRID-CAM-HEP
1530311745.329731,4288,UKI-SOUTHGRID-BRIS-HEP1,lz
1530313314.5573504,17408,RAL-LCG211,gaia-prod
1530320687.0740461,5440,UKI-SOUTHGRID-BRIS-HEP1,gaia-test
1530325071.821996,16896,UKI-SCOTGRID-GLASGOW4,UKI-SOUTHGRID-RALPP
1530325550.5041895,14848,UKI-SCOTGRID-ECDF2,gaia-prod
1530334449.7977297,1696,UKI-NORTHGRID-MAN-HEP14,gaia-dev
1530357900.4533727,17568,UKI-SOUTHGRID-CAM-HEP,RAL-LCG2
1530360585.70608,14432,UK-CAM-CUMULUS47,skatelescope.eu
1530369995.772647,3296,UKI-SOUTHGRID-RALPP5,vo.cta.in2p3.fr
1530375196.0225794,8448,UKI-NORTHGRID-LANCS-HEP7,lsst
1530419488.301249,2912,UKI-LT2-Brunel9,ISIS
1530421942.0168798,3712,UKI-SOUTHGRID-RALPP5,ral-cloud
1530425143.7018833,7040,UKI-LT2-RH,vcycle
1530432812.0875566,480,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-OX-HEP
1530436773.6997426,5280,UKI-NORTHGRID-MAN-HEP14,UKI-SOUTHGRID-RALPP
1530449314.7245014,11328,UKI-SOUTHGRID-OX-HEP2,gaia-test
1530464947.8946185,3296,UKI-LT2-QMUL4,UKI-NORTHGRID-SHEF-HEP
1530474790.6754682,4640,UKI-SOUTHGRID-CAM-HEP,gaia
1530477089.9886222,12512,UKI-SOUTHGRID-OX-HEP2,LSST
1530492548.6487432,15232,RAL-LCG211,gaia
1530499076.3918495,1216,UKI-LT2-RH,gaia-dev
1530500416.2441695,12928,UKI-LT2-QMUL4,Allocation
1530509765.1866488,7872,ral-cloud244,ISIS
1530510642.1133206,5376,UKI-SOUTHGRID-RALPP5,LSST
1530527528.6856253,9568,UKI-NORTHGRID-LANCS-HEP7,CLF
1530540984.077786,4480,UKI-LT2-QMUL4,UKI-SCOTGRID-ECDF
1530555012.178499,2976,UKI-NORTHGRID-MAN-HEP14,UKI-NORTHGRID-LANCS-HEP
1530572795.280083,3360,ral-cloud244,UKI-LT2-IC-HEP
1530583430.9335334,14752,UK-CAM-CUMULUS47,ral-cloud
1530597330.6103005,18976,UK-CAM-CUMULUS47,UKI-SOUTHGRID-BRIS-HEP
1530599124.010148,13312,UKI-LT2-Brunel9,AENEAS
1530633986.352306,14656,UKI-LT2-QMUL4,gaia-dev
1530644222.8738768,7776,UKI-NORTHGRID-MAN-HEP14,UKI-LT2-RHUL
1530649034.1339078,18912,UKI-SOUTHGRID-BRIS-HEP1,lz
1530654621.1194286,5952,UKI-SOUTHGRID-CAM-HEP,UKI-SCOTGRID-ECDF
1530660413.2132664,15968,UKI-LT2-Brunel9,virgo
1530661497.1575918,14112,UKI-LT2-QMUL4,gaia
1530662080.0910752,14848,UKI-LT2-RH,dune
1530662378.7673297,9504,UKI-SCOTGRID-ECDF2,UKI-SOUTHGRID-RALPP
1530673317.7631328,12320,UKI-SOUTHGRID-OX-HEP2,UKI-NORTHGRID-MAN-HEP
1530680991.7756362,13568,UKI-LT2-IC-HEP25,CLF
1530685757.006113,14048,RAL-LCG211,UKI-NORTHGRID-LIV-HEP
1530692446.6473806,7712,UKI-NORTHGRID-LANCS-HEP7,lsst
1530694334.220821,20096,UKI-SOUTHGRID-BRIS-HEP1,CCFE
1530697271.39765,6720,UKI-NORTHGRID-MAN-HEP14,UKI-NORTHGRID-MAN-HEP
1530709192.170308,6048,UKI-SOUTHGRID-CAM-HEP,gaia-prod
1530732684.5542822,1504,UK-CAM-CUMULUS47,gaia-dev
1530744660.8929112,16064,UKI-LT2-IC-HEP25,EUCLID
1530748950.3829274,6752,UKI-NORTHGRID-LANCS-HEP7,Allocation
1530763512.2201996,20256,UKI-SOUTHGRID-BRIS-HEP1,CCFE
1530796110.2473695,16288,UKI-SOUTHGRID-OX-HEP2,UKI-LT2-RHUL
1530798894.1789012,21312,UKI-SOUTHGRID-RALPP5,ISIS
1530825487.0884106,20384,UK-CAM-CUMULUS47,AENEAS
1530825588.270333,352,UKI-SOUTHGRID-BRIS-HEP1,iris.ac.uk
1530826281.816604,12928,UKI-SCOTGRID-ECDF2,gaia-dev
1530828362.9002972,12544,UKI-SOUTHGRID-RALPP5,CCFE
1530831805.6198616,15104,RAL-LCG211,UKI-SCOTGRID-GLASGOW
1530840703.4770825,1472,UKI-LT2-IC-HEP25,gaia-test
1530863377.6095166,10368,UKI-LT2-QMUL4,UKI-NORTHGRID-SHEF-HEP
1530864492.8954217,8160,UKI-SOUTHGRID-BHAM-HEP,gaia-test
1530879617.5133867,20544,UKI-LT2-IC-HEP25,RAL-LCG2
1530885780.5548544,4256,ral-cloud244,ral-cloud
1530903900.0536008,20928,UKI-NORTHGRID-MAN-HEP14,jintrac
1530905793.4273083,16320,UKI-NORTHGRID-LIV-HEP3,CLF
